,Case Number,Case Date Time,Case Location,Case Offense Location Type,Case Offense Category,Case Offense Type,Case Offense Charge Type,Case Disposition,Status,Location
0,2020-00000700,01/01/2020 03:44:00 PM,9400 Block of JEFF FUQUA BLVD,Airport,Theft,All other larceny,Committed,Open,Unmapped,
1,2019-00002818,01/03/2019 08:22:00 AM,4900 Block of FIJI CIR,Residence/Single,Theft,All other larceny,Committed,Closed,Mapped,"(28.60235426, -81.43691172)"
2,2020-00004890,01/05/2020 09:48:00 AM,9300 Block of JEFF FUQUA BLVD,Airport,Theft,All other larceny,Committed,Closed,Unmapped,
3,2020-00007368,01/07/2020 01:04:00 PM,4700 Block of N PINE HILLS RD,Apartment/Condo,Robbery,Robbery,Committed,Arrest,Mapped,"(28.60018728, -81.45147832)"
4,2020-00008073,01/08/2020 01:18:00 AM,9400 Block of JEFF FUQUA BLVD,Airport,Theft,All other larceny,Committed,Closed,Unmapped,
5,2013-00430910,10/14/2013 03:06:00 PM,700 Block of S ORANGE BLOSSOM TRL,Hotel/Motel,Assault,Simple assault,Committed,Closed,Unmapped,
6,2019-00011880,01/09/2019 08:17:00 PM,1900 Block of CONWAY RD,Apartment/Condo,Assault,Simple assault,Committed,Inactive,Mapped,"(28.51715097, -81.33099064)"
7,2016-00037853,01/26/2016 11:19:00 PM,EW WBO / OLD WINTER GARDEN RD,Highway/Road/Alley,Narcotics,Drugs/narcotics,Committed,Arrest,Unmapped,
8,2017-00145431,04/14/2017 10:10:00 AM,W SOUTH ST / RITTER CT,Highway/Road/Alley,Robbery,Robbery,Committed,Closed,Unmapped,
9,2013-00537870,12/24/2013 03:39:00 PM,1 Block of JEFF FUQUA BV,Airport,Theft,All other larceny,Committed,Closed,Unmapped,
10,2019-00015756,01/12/2019 12:39:00 PM,8200 Block of NEMOURS PKWY,Construction Site,Robbery,Robbery,Committed,Closed,Unmapped,
11,2019-00025822,01/19/2019 01:10:00 PM,3500 Block of GARDENS RIDGE WAY,Department/Discount Store,Theft,Shoplifting,Committed,Arrest,Unmapped,
12,2020-00022339,01/19/2020 02:51:00 AM,3200 Block of S SEMORAN BLVD,Highway/Road/Alley,Assault,Simple assault,Committed,Inactive,Mapped,"(28.51083543, -81.31031512)"
13,2011-00402902,09/10/2011 05:27:00 PM,900 Block of S ORANGE BLOSSOM TRL,Convenience Store,Theft,Shoplifting,Committed,Closed,Unmapped,
14,2020-00025508,01/21/2020 10:00:00 PM,1300 Block of S ORANGE BLOSSOM TRL,Highway/Road/Alley,Narcotics,Drugs/narcotics,Committed,Arrest,Unmapped,
15,2017-00058624,02/12/2017 12:39:00 AM,W COLONIAL DR / PUTNAM AVE,Highway/Road/Alley,Narcotics,Drugs/narcotics,Committed,Arrest,Unmapped,
16,2020-00031821,01/27/2020 12:53:00 AM,500 Block of S ORANGE BLOSSOM TRL,Convenience Store,Vehicle Theft,Motor vehicle theft,Committed,Closed,Unmapped,
17,2020-00033307,01/28/2020 07:50:00 AM,9400 Block of JEFF FUQUA BLVD,Airport,Fraud,False pretense/swindle/confidence game,Committed,Closed,Unmapped,
18,2020-00037177,01/31/2020 08:10:00 AM,500 Block of N JOHN YOUNG PKWY,Bus/Rail Terminal,Assault,Simple assault,Committed,Arrest,Mapped,"(28.54799721, -81.41373753)"
19,2010-00800219,01/28/2010 12:47:00 PM,4100 Block of N ORANGE BLOSSOM TL,Construction Site,Theft,All other larceny,Committed,Closed,Unmapped,
20,2020-00043671,02/05/2020 02:21:00 PM,9200 Block of JEFF FUQUA BLVD,Airport,Theft,All other larceny,Committed,Closed,Unmapped,
21,2019-00056496,02/11/2019 11:02:00 AM,4200 Block of CONROY RD,Mall,Theft,All other larceny,Committed,Closed,Mapped,"(28.48698571, -81.42773469)"
22,2019-00058055,02/12/2019 01:57:00 PM,7000 Block of NARCOOSSEE RD,Hardware Store,Theft,Shoplifting,Committed,Arrest,Mapped,"(28.46527982, -81.27544467)"
23,2020-00051302,02/11/2020 11:56:00 AM,9400 Block of JEFF FUQUA BLVD,Airport,Theft,All other larceny,Committed,Open,Unmapped,
24,2020-00054155,02/13/2020 09:56:00 AM,9300 Block of JEFF FUQUA BLVD,Airport,Theft,All other larceny,Committed,Closed,Unmapped,
25,2016-00355771,09/01/2016 08:47:00 AM,700 Block of S ORANGE BLOSSOM TRL,Hotel/Motel,Theft,All other larceny,Committed,Inactive,Unmapped,
26,2010-00800220,01/28/2010 12:54:00 PM,4100 Block of N ORANGE BLOSSOM TL,Industrial/Mfg,Theft,All other larceny,Committed,Closed,Unmapped,
27,2020-00057315,02/15/2020 06:50:00 PM,PARK CENTRAL BLVD/AMERICANA BLVD,Convenience Store,Robbery,Robbery,Committed,Closed,Unmapped,
