,ValueCount,location
0,4736,"(28.43180352, -81.30852827)"
1,3284,"(28.47391409, -81.44958996)"
2,2202,"(28.48698571, -81.42773469)"
3,2051,"(28.51478741, -81.45909997)"
4,1655,"(28.47723397, -81.47324116)"
5,1590,"(28.56972275, -81.41891423)"
6,1496,"(28.50491395, -81.31026445)"
7,1461,"(28.49547463, -81.42887881)"
8,1407,"(28.47526306, -81.28978891)"
9,1179,"(28.49630365, -81.45894543)"
10,1154,"(28.55342308, -81.33947698)"
11,1074,"(28.47343236, -81.4641098)"
12,1005,"(28.51715096, -81.33099065)"
13,995,"(28.55321394, -81.35102496)"
14,986,"(28.54032149, -81.37988988)"
15,935,"(28.54308365, -81.37905511)"
16,891,"(28.52919521, -81.45928779)"
17,829,"(28.55298203, -81.39244646)"
18,788,"(28.52033745, -81.31038371)"
19,764,"(28.5618964, -81.43053598)"
20,764,"(28.53210148, -81.4675343)"
21,753,"(28.47391409, -81.44958997)"
22,732,"(28.53967707, -81.40546046)"
23,731,"(28.48866705, -81.4332601)"
24,663,"(28.54081518, -81.37902128)"
25,653,"(28.52790946, -81.46494688)"
26,651,"(28.431808841, -81.308531359)"
27,649,"(28.5527617, -81.41658688)"
28,626,"(28.55334186, -81.34349508)"
29,574,"(28.50780648, -81.31029126)"
30,574,"(28.54844138, -81.38194369)"
31,569,"(28.54199979, -81.38802105)"
32,549,"(28.54170622, -81.37903842)"
33,544,"(28.49107193, -81.44450505)"
34,543,"(28.51997559, -81.45914817)"
35,543,"(28.55462074, -81.3445587)"
36,537,"(28.48837615, -81.41739938)"
37,517,"(28.473919417, -81.449593092)"
38,506,"(28.5479972, -81.41373753)"
39,505,"(28.46767042, -81.45040037)"
40,494,"(28.54262893, -81.37868859)"
41,482,"(28.54837891, -81.39736127)"
42,465,"(28.57309872, -81.36956884)"
43,452,"(28.5401396, -81.40345518)"
44,444,"(28.49707478, -81.31021111)"
45,439,"(28.5422471, -81.37215762)"
46,438,"(28.45971511, -81.27175542)"
47,430,"(28.55540486, -81.33346153)"
48,429,"(28.46821076, -81.47493479)"
49,424,"(28.51201049, -81.37630902)"
50,424,"(28.47527461, -81.4422564)"
51,417,"(28.52782115, -81.44459938)"
52,411,"(28.55056725, -81.41588829)"
53,407,"(28.5165664, -81.37796233)"
54,400,"(28.52425686, -81.33022507)"
55,399,"(28.51294543, -81.37323452)"
56,396,"(28.50337431, -81.31025201)"
57,388,"(28.54215588, -81.37667052)"
58,378,"(28.60548393, -81.42987233)"
59,362,"(28.47874533, -81.44227024)"
60,346,"(28.51605303, -81.45056056)"
61,341,"(28.49188705, -81.45893991)"
62,338,"(28.51073147, -81.37629815)"
63,338,"(28.48395179, -81.4285288)"
64,335,"(28.54173524, -81.37746632)"
65,321,"(28.55281938, -81.41229452)"
66,320,"(28.48104316, -81.45429824)"
67,312,"(28.5525559, -81.43920396)"
68,311,"(28.57886278, -81.38956146)"
69,306,"(28.54129173, -81.37990739)"
70,306,"(28.56891179, -81.43060857)"
71,305,"(28.50616685, -81.31699502)"
72,305,"(28.45794185, -81.47046365)"
73,302,"(28.52335081, -81.45917244)"
74,302,"(28.5111862, -81.31031802)"
75,298,"(28.5532521, -81.34740188)"
76,289,"(28.46228881, -81.4644626)"
77,287,"(28.47370002, -81.44225014)"
78,286,"(28.51053671, -81.45676251)"
79,283,"(28.59635011, -81.45019943)"
80,283,"(28.47388042, -81.30610262)"
81,279,"(28.52421695, -81.33722317)"
82,278,"(28.47526306, -81.28978892)"
83,278,"(28.46239524, -81.45427409)"
84,272,"(28.48038944, -81.4588121)"
85,265,"(28.55338259, -81.34144422)"
86,258,"(28.55313502, -81.36149276)"
87,257,"(28.51531736, -81.47794666)"
88,257,"(28.54131351, -81.37774356)"
89,257,"(28.47708491, -81.44226359)"
90,257,"(28.54661433, -81.37911175)"
91,251,"(28.46083798, -81.46763256)"
92,249,"(28.52281416, -81.30831519)"
93,247,"(28.52548348, -81.37815181)"
94,247,"(28.47034895, -81.4503894)"
95,245,"(28.54423552, -81.37591967)"
96,244,"(28.54016359, -81.38596351)"
97,238,"(28.47343236, -81.46410979)"
98,237,"(28.486991033, -81.427737806)"
99,235,"(28.5530951, -81.37802665)"
100,233,"(28.48282291, -81.31013474)"
101,232,"(28.51358515, -81.31033575)"
102,231,"(28.5421281, -81.3786887)"
103,230,"(28.56456131, -81.43055955)"
104,228,"(28.54236982, -81.379047)"
105,227,"(28.54407415, -81.37907198)"
106,227,"(28.60760905, -81.43486896)"
107,226,"(28.53257695, -81.40135432)"
108,226,"(28.52422799, -81.47111424)"
109,224,"(28.60708174, -81.42982534)"
110,224,"(28.48927738, -81.43041755)"
111,220,"(28.51587178, -81.31035273)"
112,219,"(28.50486822, -81.37625059)"
113,218,"(28.514792744, -81.459103101)"
114,217,"(28.55298359, -81.38803219)"
115,216,"(28.52049113, -81.3041099)"
116,216,"(28.51340796, -81.3284398)"
117,215,"(28.60174587, -81.43871888)"
118,214,"(28.50757283, -81.45899712)"
119,214,"(28.46237441, -81.45746086)"
120,210,"(28.49804732, -81.30619841)"
121,209,"(28.5210236, -81.30350573)"
122,208,"(28.48430627, -81.45885443)"
123,208,"(28.51645073, -81.47800714)"
124,205,"(28.47527088, -81.47409806)"
125,203,"(28.54214797, -81.37774653)"
126,202,"(28.54017371, -81.38441453)"
127,202,"(28.49922815, -81.44417626)"
128,199,"(28.55342843, -81.32874142)"
129,199,"(28.54211234, -81.37904826)"
130,199,"(28.50539279, -81.41520701)"
131,198,"(28.49943829, -81.44178817)"
132,198,"(28.45924653, -81.46932481)"
133,197,"(28.47626527, -81.4624499)"
134,196,"(28.53175319, -81.43435271)"
135,196,"(28.55285218, -81.40851872)"
136,194,"(28.46232004, -81.46189315)"
137,193,"(28.54258669, -81.43587596)"
138,192,"(28.46507929, -81.4504039)"
139,192,"(28.5345044, -81.41518731)"
140,192,"(28.52163301, -81.45915384)"
141,190,"(28.50944335, -81.43269769)"
142,187,"(28.495479961, -81.42888193)"
143,183,"(28.55983376, -81.42774526)"
144,181,"(28.5463345, -81.41371328)"
145,179,"(28.52872282, -81.45236903)"
146,178,"(28.49421857, -81.31020007)"
147,178,"(28.45045104, -81.46439665)"
148,176,"(28.47502202, -81.25928186)"
149,175,"(28.46035216, -81.45865612)"
150,174,"(28.60151209, -81.45152022)"
151,173,"(28.55280141, -81.41424128)"
152,172,"(28.54164425, -81.38174646)"
153,172,"(28.49171609, -81.30616231)"
154,171,"(28.54130481, -81.38287845)"
155,170,"(28.51640352, -81.48454607)"
156,168,"(28.473437688, -81.464112927)"
157,167,"(28.51682055, -81.45911158)"
158,167,"(28.55016286, -81.37916223)"
159,167,"(28.46232891, -81.46079573)"
160,167,"(28.45907161, -81.46372207)"
161,167,"(28.53918688, -81.39190795)"
162,166,"(28.44204652, -81.2891358)"
163,166,"(28.46527981, -81.27544467)"
164,164,"(28.54209652, -81.37986019)"
165,163,"(28.51256125, -81.40799816)"
166,163,"(28.569728094, -81.418917348)"
167,163,"(28.475268388, -81.289791995)"
168,162,"(28.38263728, -81.24437208)"
169,162,"(28.53660378, -81.33118164)"
170,162,"(28.4936655, -81.46937)"
171,162,"(28.55280754, -81.41384426)"
172,162,"(28.54385212, -81.38906551)"
173,161,"(28.55305058, -81.38365148)"
174,161,"(28.48506648, -81.46228505)"
175,161,"(28.48290735, -81.45627887)"
176,160,"(28.49555956, -81.449454)"
177,159,"(28.53123208, -81.45928324)"
178,158,"(28.50151121, -81.31024701)"
179,158,"(28.52763666, -81.41791089)"
180,158,"(28.53172013, -81.30328978)"
181,158,"(28.54133587, -81.37437355)"
182,157,"(28.52355515, -81.3104054)"
183,157,"(28.55294622, -81.39653121)"
184,157,"(28.55585207, -81.37924136)"
185,157,"(28.49708684, -81.4388836)"
186,156,"(28.55251219, -81.39330493)"
187,156,"(28.50991278, -81.41302481)"
188,154,"(28.5396768, -81.38901358)"
189,153,"(28.54153076, -81.3972642)"
190,153,"(28.473914092, -81.449589965)"
191,153,"(28.51948485, -81.29930009)"
192,152,"(28.52045037, -81.42603768)"
193,151,"(28.49979315, -81.31023603)"
194,151,"(28.49944308, -81.45127668)"
195,151,"(28.47970794, -81.28755756)"
196,151,"(28.45412607, -81.46447381)"
197,150,"(28.55328808, -81.34635424)"
198,150,"(28.52685488, -81.45925887)"
199,148,"(28.53303312, -81.45901394)"
200,147,"(28.60023995, -81.43587122)"
201,147,"(28.52433608, -81.31805539)"
202,145,"(28.53916715, -81.35185574)"
203,144,"(28.46799772, -81.30580521)"
204,144,"(28.47390792, -81.4391231)"
205,143,"(28.48124122, -81.4644785)"
206,143,"(28.49400536, -81.41089819)"
207,143,"(28.5413001, -81.37902858)"
208,142,"(28.48262298, -81.44230083)"
209,141,"(28.4839076, -81.4350293)"
210,141,"(28.47650736, -81.45683469)"
211,141,"(28.53300172, -81.4343623)"
212,141,"(28.53111004, -81.39838348)"
213,139,"(28.60018742, -81.45147977)"
214,139,"(28.55322367, -81.34896464)"
215,139,"(28.51299262, -81.37118164)"
216,138,"(28.48686156, -81.30692227)"
217,138,"(28.475968979, -81.473246379)"
218,137,"(28.55200844, -81.37917874)"
219,136,"(28.51708721, -81.29725448)"
220,136,"(28.60078657, -81.45150136)"
221,135,"(28.52381256, -81.31112435)"
222,135,"(28.53178105, -81.41493027)"
223,135,"(28.52638108, -81.47100334)"
224,134,"(28.496308986, -81.458947614)"
225,133,"(28.53577122, -81.33433666)"
226,132,"(28.50874428, -81.42880573)"
227,132,"(28.60269374, -81.42552805)"
228,132,"(28.51831899, -81.45912206)"
229,132,"(28.54130393, -81.37852682)"
230,132,"(28.5421991, -81.37438755)"
231,131,"(28.5390294, -81.30825302)"
232,131,"(28.46973716, -81.46870102)"
233,131,"(28.46234569, -81.45948928)"
234,131,"(28.50491395, -81.31026446)"
235,131,"(28.54128239, -81.38128806)"
236,131,"(28.57800435, -81.43722182)"
237,131,"(28.54027146, -81.38125635)"
238,131,"(28.53740404, -81.38898117)"
239,130,"(28.59795907, -81.45140563)"
240,130,"(28.49539756, -81.45284001)"
241,130,"(28.46389095, -81.46247949)"
242,129,"(28.47355616, -81.32927448)"
243,129,"(28.57755282, -81.33496855)"
244,129,"(28.53086022, -81.41791011)"
245,128,"(28.51140208, -81.40118155)"
246,128,"(28.53446322, -81.41666779)"
247,127,"(28.51715097, -81.33099064)"
248,127,"(28.52897994, -81.47496653)"
249,127,"(28.52752095, -81.46893559)"
250,127,"(28.54016451, -81.40036233)"
251,125,"(28.54293691, -81.38290093)"
252,125,"(28.53921282, -81.38900691)"
253,125,"(28.52415425, -81.34495451)"
254,125,"(28.5278265, -81.4421596)"
255,125,"(28.52699376, -81.43746531)"
256,125,"(28.54386004, -81.38804802)"
257,125,"(28.52032727, -81.36604123)"
258,124,"(28.553428426, -81.339480076)"
259,124,"(28.47225514, -81.30348954)"
260,124,"(28.53017382, -81.37651009)"
261,124,"(28.52732526, -81.47323774)"
262,123,"(28.52302114, -81.3351762)"
263,123,"(28.51827685, -81.47804689)"
264,122,"(28.55344866, -81.33445992)"
265,122,"(28.55342308, -81.33947697)"
266,122,"(28.52425816, -81.32856806)"
267,122,"(28.49294395, -81.45030699)"
268,121,"(28.54354, -81.3790645)"
269,121,"(28.54308365, -81.37905512)"
270,121,"(28.4944678, -81.45007678)"
271,120,"(28.52503461, -81.45922298)"
272,120,"(28.51545697, -81.47010461)"
273,119,"(28.44679415, -81.29103892)"
274,119,"(28.54013646, -81.38975738)"
275,119,"(28.50905886, -81.41897633)"
276,118,"(28.51814971, -81.30416426)"
277,117,"(28.54252483, -81.37587735)"
278,117,"(28.59912323, -81.43673157)"
279,117,"(28.51977585, -81.3763728)"
280,116,"(28.5529862, -81.39245476)"
281,116,"(28.4886163, -81.42903794)"
282,115,"(28.54523965, -81.3890838)"
283,115,"(28.54575947, -81.36772626)"
284,115,"(28.54215122, -81.37747058)"
285,115,"(28.54660752, -81.37752971)"
286,115,"(28.49945819, -81.44313757)"
287,115,"(28.46380677, -81.45337646)"
288,115,"(28.46928533, -81.2683915)"
289,115,"(28.552991544, -81.392457868)"
290,114,"(28.55984252, -81.42671102)"
291,114,"(28.47326064, -81.31009182)"
292,114,"(28.45637032, -81.30734861)"
293,112,"(28.51401344, -81.46457423)"
294,112,"(28.553219291, -81.351028058)"
295,111,"(28.543088996, -81.379058224)"
296,110,"(28.53386737, -81.42119389)"
297,110,"(28.53171504, -81.41737049)"
298,110,"(28.54529198, -81.3973151)"
299,110,"(28.47673752, -81.45878541)"
300,109,"(28.54254061, -81.43958238)"
301,109,"(28.59503675, -81.43845194)"
302,109,"(28.59728065, -81.43817223)"
303,109,"(28.47789662, -81.45811914)"
304,108,"(28.46193929, -81.46575106)"
305,108,"(28.517156303, -81.330993733)"
306,108,"(28.54251224, -81.38701187)"
307,108,"(28.49961443, -81.45896002)"
308,107,"(28.59574376, -81.45139461)"
309,107,"(28.50991599, -81.41212158)"
310,107,"(28.47228653, -81.3011325)"
311,107,"(28.45330225, -81.31531507)"
312,107,"(28.54297842, -81.36844976)"
313,106,"(28.47371974, -81.43726881)"
314,106,"(28.61269468, -81.43342933)"
315,106,"(28.43758603, -81.33679171)"
316,105,"(28.54984635, -81.41587833)"
317,105,"(28.52425316, -81.33178873)"
318,105,"(28.51593947, -81.4591031)"
319,105,"(28.52796144, -81.46080022)"
320,105,"(28.54198921, -81.39184633)"
321,105,"(28.45585847, -81.46561011)"
322,105,"(28.50468235, -81.45556079)"
323,103,"(28.55005325, -81.39729669)"
324,103,"(28.55330635, -81.34527388)"
325,102,"(28.55265998, -81.42832203)"
326,102,"(28.53210148, -81.46753431)"
327,102,"(28.49402345, -81.45657625)"
328,102,"(28.59950795, -81.43775194)"
329,102,"(28.49526824, -81.31285417)"
330,100,"(28.49728133, -81.45320775)"
331,99,"(28.60827732, -81.42982433)"
332,99,"(28.53296424, -81.42127816)"
333,99,"(28.45004792, -81.34657918)"
334,98,"(28.54033026, -81.37901398)"
335,98,"(28.50777318, -81.46873258)"
336,98,"(28.52733373, -81.44514625)"
337,98,"(28.49527545, -81.30819919)"
