zipcode,latitude,longitude,price
32789,28.5978,-81.3534,480361.71
32792,28.5974,-81.3036,247344.71
32801,28.5399,-81.3727,282031.02
32803,28.5559,-81.3535,299539.95
32804,28.5754,-81.3955,329537.92
32805,28.5302,-81.4045,129388.47
32806,28.514,-81.357,282839.77
32807,28.5515,-81.3051,188152.37
32808,28.5803,-81.4396,143438.39
32809,28.4637,-81.3948,186789.79
32811,28.5163,-81.4516,127476.0
32812,28.4998,-81.3288,254480.25
32814,28.5702,-81.3265,487825.33
32817,28.5891,-81.2277,238943.73
32818,28.5801,-81.4846,201290.52
32819,28.4522,-81.4678,320273.81
32821,28.3957,-81.4666,217393.14
32822,28.4944,-81.2902,172824.65
32824,28.3932,-81.3622,249685.38
32825,28.5469,-81.2571,237448.78
32826,28.5826,-81.1907,221541.92
32827,28.4317,-81.343,382773.96
32828,28.5523,-81.1795,293593.69
32829,28.4671,-81.2417,246734.22
32831,28.4656,-81.151,23803.57
32832,28.3774,-81.1888,325308.42
32835,28.5289,-81.4787,207568.72
32836,28.4115,-81.525,468069.78
32837,28.3949,-81.4179,256902.53
32839,28.4871,-81.4082,165115.48
