,business_id,name,price,status_1,status_2,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,status
0,w4qVflIAbdklzG3mnKmQsg,Magical Pizza Express,1.0,1.0,,,,,,,,,,,5.0
2,Wo7xNKWlq3i5q20VkBb6IQ,Mejana Mediterranean,,,,,,,,,,,,,1.0
3,rIdojqgqK1IcxYAyJhsLLg,Muse 24h Caffee,,,,,,,,,,,,,1.0
5,DM_Ge3Feh-4xnIrHIDg4uw,The Bistro Restaurant and Bar,,,,,,,,,,,,,1.0
6,MVqv-Wgn772O5fqvgZy83A,Galeria,,,,,,,,,,,,,1.0
7,MPgXswKyNopTNNhzOf5Gng,Wingstop,1.0,6.0,,,,,,,,,,,6.0
8,9R4uQYuIEj6YgkYxnAYX5w,Regal Eagle Smokehouse,,1.0,,,,,,,,,,,1.0
9,cNMMVL2DljoxWKrVFUl2Jw,KFC,1.0,,,,,,,,,,,,6.0
10,aXgDfupEoIh3gD6RH-RY5g,Tin & Taco - College Park,,,,,,,,,,,,,1.0
11,4jW-ZDeCPIl9aXvTWcATlA,The Delaney Hotel,,,,,,,,,,,,,1.0
12,nSOAsKB7B6fvfcttEgjplQ,JMC Latin Food Market,1.0,,,,,,,,,,,,5.0
13,tCZoMAPrsdHcNHUhRkeQUg,Turkey Lake Service Station,1.0,,,,,,,,,,,,1.0
14,0y9y5Pe1DUsDyz6hgorvkQ,CUBA 1800â€™s,,1.0,,,,,,,,,,,1.0
15,0rjvIOWhFLrSAr1IQJgACA,Green House Chinese Restaurants,2.0,3.0,Green House Chinese Restaurants,,,,,,,,,,1.0
16,HEf18-z7MyGPlb_ezY9_4w,My Boricua Kitchen,,,,,,,,,,,,,1.0
18,GZg3l9IYCWV5JDL3rlhkTg,Royal Indian Cuisine and Bar,,,,,,,,,,,,,1.0
19,ooNOrdHdhmhS7guiIpDDuA,Another Broken Egg Cafe,2.0,,,,,,,,,,,,1.0
20,uQa8d6ZGQu5Hng9NxXs3mg,Winter Park Biscuit Co.,2.0,1.0,,,,,,,,,,,1.0
22,XkkM3-jisNT7CZiXty-c7A,Gringos Locos,1.0,,,,,,,,,,,,6.0
23,PVVb8gJODKOMO7nB_q9kMg,Mecatos Bakery & CafÃ©,1.0,,,,,,,,,,,,5.0
24,nss7KgkDYcX8vxBXFtdizw,Sbarro,1.0,,,,,,,,,,,,6.0
25,rKjmHdZwwKp3bhW2NDS8vw,USTA National Campus,,1.0,,,,,,,,,,,1.0
26,ei_mjOR61Xw6pLWzZGCywQ,Taco Rio Mexican Kitchen,,,,,,,,,,,,,1.0
27,_0bhouvrFRc5ZnWF8pcyFw,Olives,,,,,,,,,,,,,1.0
28,NBXaP1R4jitMC4LU8mzLIA,Kai Kai Dim Sum & BBQ,,1.0,,,,,,,,,,,1.0
29,Zt6rMjV5pz4CQ6Fa4sadNA,Loading Zone Philly Steaks,,,,,,,,,,,,,1.0
30,7kiwG4kTapcD-8aGW87iKA,Aurora Restaurant,,,,,,,,,,,,,1.0
31,cbBkkajzYNGHWeuguBy7eQ,Wok N' Kebab Asian Street Fare,1.0,,,,,,,,,,,,5.0
32,I1zhChrvLNtcOKUkx3nTWw,Picasso Moments Bakery,1.0,,,,,,,,,,,,5.0
33,sLR_ouiY9WDSaB54QQGR1Q,CayCakes Bakery,1.0,1.0,,,,,,,,,,,5.0
34,8r5Ast3tTF8QpHlsbU6ziQ,Miller's Jamaican Cuisine,,1.0,,,,,,,,,,,1.0
35,GZfBzqB-4rxh504gNw4BoA,Purple Ocean Superfood Bar,1.0,,,,,,,,,,,,6.0
36,iNA2WE4isKix3Sgpvbh_EQ,Metropolis Mexican Grill,,1.0,,,,,,,,,,,1.0
37,IvaBBVlsYwAw1ytdPlMRGg,Takumi-Tei,,,,,,,,,,,,,1.0
