,Name,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
0,33rd Street Industrial,28.505090000000052,-81.43109999999996,0,Auto Workshop,Athletics & Sports,Farmers Market,Rental Car Location,Outdoor Sculpture,Performing Arts Venue,Pawn Shop,Park,Paper / Office Supplies Store,Optical Shop
1,Airport North,28.46302000000003,-81.30760999999995,2,Hotel,Breakfast Spot,Restaurant,American Restaurant,Gym / Fitness Center,Pizza Place,Mexican Restaurant,Clothing Store,Movie Theater,Cosmetics Shop
2,Audubon Park,28.565170000000023,-81.34261999999995,1,Karaoke Bar,Coffee Shop,Market,Sandwich Place,Donut Shop,Cupcake Shop,Record Shop,Convenience Store,Ramen Restaurant,Food & Drink Shop
3,Azalea Park,28.532910000000072,-81.31040999999999,1,Electronics Store,Breakfast Spot,Convenience Store,Gas Station,Discount Store,Latin American Restaurant,ATM,Pet Service,Performing Arts Venue,Pawn Shop
4,Bal Bay,28.42758235692473,-81.5695418283814,0,Gym,ATM,Pet Service,Music Venue,Nail Salon,Nature Preserve,New American Restaurant,Nightclub,North Indian Restaurant,Office
5,Baldwin Park,28.566400000000044,-81.32508999999999,1,Italian Restaurant,Asian Restaurant,Sushi Restaurant,Brewery,French Restaurant,Burger Joint,Mexican Restaurant,Spa,Grocery Store,Candy Store
6,Bel Air,28.521755050225536,-81.32326527843759,1,Gym,ATM,Pet Service,Music Venue,Nail Salon,Nature Preserve,New American Restaurant,Nightclub,North Indian Restaurant,Office
7,Beltway Commerce Center,28.56951898485235,-81.30354428488796,1,Insurance Office,American Restaurant,Farm,Café,Rental Car Location,Pet Store,Nature Preserve,New American Restaurant,Nightclub,North Indian Restaurant
8,Boggy Creek,28.436500000000024,-81.34972999999997,2,Intersection,Moving Target,Nail Salon,Nature Preserve,New American Restaurant,Nightclub,North Indian Restaurant,Office,Optical Shop,Outdoor Sculpture
9,Bryn Mawr,28.508170000000064,-81.31946999999997,1,Cocktail Bar,Lounge,ATM,Outdoor Sculpture,Pet Service,Performing Arts Venue,Pawn Shop,Park,Paper / Office Supplies Store,Office
10,Callahan,28.545970000000068,-81.38908999999995,1,Tennis Court,Rental Car Location,Hotel,Food Truck,North Indian Restaurant,Park,Paper / Office Supplies Store,Outdoor Sculpture,Optical Shop,Office
11,Camellia Gardens,28.522924052468746,-81.29789956304589,1,Intersection,Residential Building (Apartment / Condo),Electronics Store,Lounge,Nature Preserve,New American Restaurant,Nightclub,North Indian Restaurant,Office,Pet Store
12,Carver Shores,28.526190000000042,-81.44660999999996,0,Pizza Place,ATM,Pet Service,Music Venue,Nail Salon,Nature Preserve,New American Restaurant,Nightclub,North Indian Restaurant,Office
13,Catalina,28.514050000000054,-81.41722999999996,0,Lake,Hotel,Thai Restaurant,ATM,Pawn Shop,Park,Paper / Office Supplies Store,Outdoor Sculpture,Optical Shop,Office
14,Central Business District,28.54838061813682,-81.4127999726369,0,Bakery,Gas Station,Deli / Bodega,Convenience Store,Coffee Shop,Office,Home Service,Paper / Office Supplies Store,Pet Service,Performing Arts Venue
