,ValueCount,location
0,29,"(28.54081518, -81.37902128)"
1,28,"(28.54170622, -81.37903842)"
2,14,"(28.52292187, -81.31183137)"
3,12,"(28.48698571, -81.42773469)"
4,12,"(28.536754325, -81.31052233)"
5,12,"(28.49707478, -81.31021111)"
6,11,"(28.52425686, -81.33022507)"
7,10,"(28.462351012, -81.459492414)"
8,10,"(28.55321394, -81.35102496)"
9,10,"(28.541711565, -81.379041531)"
10,9,"(28.54032149, -81.37988988)"
11,8,"(28.47326064, -81.31009182)"
12,8,"(28.48837615, -81.41739938)"
13,6,"(28.51593947, -81.4591031)"
14,6,"(28.502596354, -81.458983179)"
15,6,"(28.50259102, -81.45898005)"
16,6,"(28.4886163, -81.42903794)"
17,6,"(28.50757283, -81.45899712)"
18,6,"(28.55334186, -81.34349508)"
19,6,"(28.5422471, -81.37215762)"
20,5,"(28.45882746, -81.31003116)"
21,5,"(28.46230883, -81.46326674)"
22,5,"(28.46237441, -81.45746086)"
23,5,"(28.49889143, -81.31087563)"
24,5,"(28.47326065, -81.31009182)"
25,5,"(28.56837274, -81.32621187)"
26,5,"(28.46747266, -81.31008722)"
27,5,"(28.48290735, -81.45627887)"
28,5,"(28.46083797, -81.46763256)"
29,5,"(28.55328808, -81.34635424)"
30,5,"(28.480394762, -81.458815234)"
31,5,"(28.59635011, -81.45019943)"
32,5,"(28.484311598, -81.458857563)"
33,4,"(28.553428426, -81.339480076)"
34,4,"(28.56817433, -81.37270492)"
35,4,"(28.51201049, -81.37630902)"
36,4,"(28.48640333, -81.45888068)"
37,4,"(28.51311608, -81.36037521)"
38,4,"(28.47391409, -81.44958997)"
39,4,"(28.540820521, -81.37902439)"
40,4,"(28.47343236, -81.46410979)"
41,4,"(28.46234569, -81.45948929)"
42,4,"(28.486991033, -81.427737806)"
43,4,"(28.54170622, -81.37903843)"
44,4,"(28.46234569, -81.45948928)"
45,4,"(28.48430627, -81.45885443)"
46,4,"(28.48927738, -81.43041755)"
47,4,"(28.46239525, -81.45427409)"
48,4,"(28.48038944, -81.4588121)"
49,4,"(28.47874533, -81.44227024)"
50,4,"(28.467477985, -81.310090305)"
51,4,"(28.49188705, -81.45893991)"
52,4,"(28.460843298, -81.467635688)"
53,3,"(28.553165387, -81.369636623)"
54,3,"(28.46174158, -81.31006093)"
55,3,"(28.52425816, -81.32856806)"
56,3,"(28.553219291, -81.351028058)"
57,3,"(28.51340796, -81.32843981)"
58,3,"(28.52425316, -81.33178873)"
59,3,"(28.54016359, -81.38596351)"
60,3,"(28.5677219, -81.32686048)"
61,3,"(28.46456775, -81.31007364)"
62,3,"(28.486408664, -81.458883813)"
63,3,"(28.553347207, -81.343498178)"
64,3,"(28.51471461, -81.37869838)"
65,3,"(28.473437688, -81.464112927)"
66,3,"(28.51523044, -81.37635229)"
67,3,"(28.53967058, -81.37900606)"
68,3,"(28.542252445, -81.372160723)"
69,3,"(28.58293883, -81.390613)"
70,3,"(28.55316004, -81.36963352)"
71,3,"(28.54753389, -81.38085421)"
72,3,"(28.55342308, -81.33947697)"
73,3,"(28.5475339, -81.3808542)"
74,3,"(28.53406077, -81.31049425)"
75,3,"(28.58040643, -81.38957769)"
76,3,"(28.55462074, -81.3445587)"
77,3,"(28.54092163, -81.3698866)"
78,3,"(28.56341064, -81.38932588)"
79,3,"(28.54847099, -81.37913868)"
80,3,"(28.46747266, -81.31008721)"
81,2,"(28.543540348, -81.379976825)"
82,2,"(28.475968979, -81.473246379)"
83,2,"(28.56831632, -81.34607501)"
84,2,"(28.567866305, -81.343694896)"
85,2,"(28.524243, -81.33348772)"
86,2,"(28.59961775, -81.41887328)"
87,2,"(28.50337431, -81.31025201)"
88,2,"(28.51073147, -81.37629815)"
89,2,"(28.553262321, -81.347389849)"
90,2,"(28.51682056, -81.45911158)"
91,2,"(28.57659375, -81.38952095)"
92,2,"(28.455754603, -81.311478121)"
93,2,"(28.51770638, -81.42601185)"
94,2,"(28.541318854, -81.377746666)"
95,2,"(28.45574928, -81.31147503)"
96,2,"(28.52425931, -81.33106248)"
97,2,"(28.53674898, -81.31051924)"
98,2,"(28.51218955, -81.45906875)"
99,2,"(28.57071985, -81.38943516)"
100,2,"(28.552857525, -81.408521839)"
101,2,"(28.52422946, -81.33550516)"
102,2,"(28.543683975, -81.367139515)"
103,2,"(28.47586062, -81.45609097)"
104,2,"(28.46978747, -81.26614016)"
105,2,"(28.51587178, -81.31035273)"
106,2,"(28.473265973, -81.310094906)"
107,2,"(28.54384123, -81.3988405)"
108,2,"(28.57447568, -81.4241686)"
109,2,"(28.515877114, -81.310355818)"
110,2,"(28.51587177, -81.31035273)"
111,2,"(28.49384151, -81.45999153)"
112,2,"(28.57153652, -81.38943855)"
113,2,"(28.51478741, -81.45909997)"
114,2,"(28.46232004, -81.46189315)"
115,2,"(28.54661433, -81.37911175)"
116,2,"(28.54420171, -81.3684847)"
117,2,"(28.543661813, -81.368042661)"
118,2,"(28.46193929, -81.46575106)"
119,2,"(28.61312256, -81.41898288)"
120,2,"(28.51295077, -81.373237629)"
121,2,"(28.52341256, -81.3764229)"
122,2,"(28.46239524, -81.45427409)"
123,2,"(28.55540486, -81.33346153)"
124,2,"(28.57886278, -81.38956146)"
125,2,"(28.54229953, -81.36916665)"
126,2,"(28.5401635870001, -81.3859635059999)"
127,2,"(28.543535005, -81.3799737159999)"
128,2,"(28.55281938, -81.41229453)"
129,2,"(28.5417062220001, -81.3790384229999)"
130,2,"(28.54354344, -81.37870488)"
131,2,"(28.47204865, -81.45341891)"
132,2,"(28.55336289, -81.3250576)"
133,2,"(28.5390294, -81.30825302)"
134,2,"(28.54131351, -81.37774356)"
135,2,"(28.46232005, -81.46189315)"
136,2,"(28.5646445, -81.37289)"
137,2,"(28.47391409, -81.44958996)"
138,1,"(28.524258162, -81.328568059)"
139,1,"(28.5429784190001, -81.3684497579999)"
140,1,"(28.55314816, -81.363561256)"
141,1,"(28.5390294010001, -81.308253024)"
142,1,"(28.5408151780001, -81.3790212819999)"
143,1,"(28.54407415, -81.37907198)"
144,1,"(28.546612859, -81.377532821)"
145,1,"(28.52422391, -81.33628962)"
146,1,"(28.5435434440001, -81.3787048889999)"
147,1,"(28.553213944, -81.3510249569999)"
148,1,"(28.51703526, -81.37637716)"
149,1,"(28.5142974440001, -81.376344391)"
150,1,"(28.476512685, -81.456837822)"
151,1,"(28.51388728, -81.45909926)"
152,1,"(28.425898012, -81.254346099)"
153,1,"(28.48291268, -81.456281995)"
154,1,"(28.515235774, -81.376355398)"
155,1,"(28.425185611, -81.353788162)"
156,1,"(28.5158717750001, -81.3103527329999)"
157,1,"(28.553362887, -81.325057601)"
158,1,"(28.552369692, -81.347918282)"
