,business_id,name,address,postal_code,latitude,longitude,stars,review_count,is_open,categories,wifi,parking,creditcard,reserve,groups,attributes.RestaurantsPriceRange2,alcohol,takeout,attire,delivery
13,ufCxltuh56FF4-ZFZ6cVhg,Sister Honey's,247 E Michigan St,32806,28.5132647,-81.3747072,4.5,135,1,"Restaurants, American (New), Bakeries, Desserts, Food, Cupcakes",,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,,,1.0,,True,,False
16,GfWJ19Js7wX9rwaHQ7KbGw,Everything POP Shopping & Dining,1050 Century Dr,32830,28.3504984,-81.542819,3.0,7,1,"Restaurants, American (New), Food Court, Flowers & Gifts, Hotels & Travel, Gift Shops, Resorts, Shopping",u'free',"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",True,False,True,2.0,,None,u'casual',None
22,ynTjh_FdhbG5hY69HsEoaA,Cascade Restaurant,"Hyatt Regency Grand Cypress, 1 Grand Cypress Blvd",32836,28.3819454,-81.510327,3.5,18,0,"Hotels, American (Traditional), Restaurants, Event Planning & Services, Hotels & Travel",'free',"{'garage': False, 'street': False, 'validated': True, 'lot': True, 'valet': True}",True,True,True,2.0,'full_bar',True,u'casual',False
51,w4qVflIAbdklzG3mnKmQsg,Magical Pizza Express,"3262 Vineland Rd, Ste 106",32811,28.5205,-81.44395,1.0,8,1,"Italian, Restaurants",,,,,,1.0,u'none',,u'casual',
63,qbZJh9lR0gh4Wca96NQv9g,Chuck E. Cheese,7456 W Colonial Dr,32818,28.551335,-81.483167,2.0,15,1,"Pizza, Event Planning & Services, Arcades, Party & Event Planning, Restaurants, Active Life, Arts & Entertainment, Kids Activities, Indoor Playcentre",'free',"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,True,True,1.0,'none',True,'casual',True
88,EGZ0fhB9k0ZlI5sHda4vFw,Andy's Frozen Custard,5381 International Dr,32819,28.4632778,-81.4511805,4.5,36,0,"Food, Ice Cream & Frozen Yogurt, Restaurants, Breakfast & Brunch, Desserts",u'no',"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,,,1.0,,True,,
220,y030N-DD6G7lfWHO4A6ezw,Saltgrass Steak House,8850 Vineland Ave,32821,28.3732694002,-81.5030797147,3.5,162,1,"Steakhouses, Restaurants, American (Traditional), Seafood",u'free',"{'garage': False, 'street': None, 'validated': False, 'lot': True, 'valet': False}",True,True,True,2.0,u'full_bar',True,u'casual',True
310,Xz6aqENKlT4FU-ZBvrf_ow,Bugambilias,747 W Lancaster,32809,28.464982,-81.390952,4.5,43,1,"Restaurants, Mexican",'no',"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,True,True,1.0,'none',True,'casual',True
369,mw_qxZJraNu7Q6u0GkcMew,Chatham's Place,7575 Dr Phillips Blvd,32819,28.4518821484,-81.487382886,4.5,157,1,"American (New), Bars, Restaurants, Wine Bars, Nightlife",u'no',"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,True,True,4.0,u'full_bar',True,u'dressy',True
393,n-_p1jwGCbZT9YaTbugsdw,Vivi bubble Tea,"1111 E Colonial Dr, Ste 1111",32803,28.5534641199,-81.3649773955,4.0,197,1,"Coffee & Tea, Food, Hot Dogs, Restaurants, Bubble Tea",,"{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}",True,True,,1.0,,True,,
