,business_id,name,categories,address,postal_code,latitude,longitude,stars,review_count,is_open,price_range,Latin America,North American,Ottoman Cuisine,Quick and Greasy,European,Asian,Cafes & Desserts,Other,checkin_sum,fisrt_record,last_record,total_days
0,ufCxltuh56FF4-ZFZ6cVhg,Sister Honey's,"Restaurants, American (New), Bakeries, Desserts, Food, Cupcakes",247 E Michigan St,32806.0,28.5132647,-81.3747072,4.5,135,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,246,2012-08-29 22:10:36,2020-10-09 20:50:00,2962.9440277777776
1,GfWJ19Js7wX9rwaHQ7KbGw,Everything POP Shopping & Dining,"Restaurants, American (New), Food Court, Flowers & Gifts, Hotels & Travel, Gift Shops, Resorts, Shopping",1050 Century Dr,32830.0,28.3504984,-81.542819,3.0,7,1,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,63,2013-07-12 15:25:43,2020-09-16 03:28:27,2622.501898148148
2,ynTjh_FdhbG5hY69HsEoaA,Cascade Restaurant,"Hotels, American (Traditional), Restaurants, Event Planning & Services, Hotels & Travel","Hyatt Regency Grand Cypress, 1 Grand Cypress Blvd",32836.0,28.3819454,-81.510327,3.5,18,0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,78,2011-04-23 14:34:30,2016-01-12 00:28:05,1724.4122106481482
3,qbZJh9lR0gh4Wca96NQv9g,Chuck E. Cheese,"Pizza, Event Planning & Services, Arcades, Party & Event Planning, Restaurants, Active Life, Arts & Entertainment, Kids Activities, Indoor Playcentre",7456 W Colonial Dr,32818.0,28.551335,-81.483167,2.0,15,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,21,2011-01-05 22:45:45,2018-07-28 21:18:03,2760.9390972222222
4,EGZ0fhB9k0ZlI5sHda4vFw,Andy's Frozen Custard,"Food, Ice Cream & Frozen Yogurt, Restaurants, Breakfast & Brunch, Desserts",5381 International Dr,32819.0,28.4632778,-81.4511805,4.5,36,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,51,2018-03-20 01:50:18,2018-09-23 02:28:03,187.02621527777777
5,y030N-DD6G7lfWHO4A6ezw,Saltgrass Steak House,"Steakhouses, Restaurants, American (Traditional), Seafood",8850 Vineland Ave,32821.0,28.3732694002,-81.5030797147,3.5,162,1,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,152,2018-09-18 20:50:24,2020-12-28 22:43:39,832.0786458333333
6,Xz6aqENKlT4FU-ZBvrf_ow,Bugambilias,"Restaurants, Mexican",747 W Lancaster,32809.0,28.464982,-81.390952,4.5,43,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77,2014-06-20 17:02:35,2020-09-25 23:01:03,2289.248935185185
7,mw_qxZJraNu7Q6u0GkcMew,Chatham's Place,"American (New), Bars, Restaurants, Wine Bars, Nightlife",7575 Dr Phillips Blvd,32819.0,28.4518821484,-81.487382886,4.5,157,1,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,161,2010-05-27 00:32:52,2021-01-03 01:04:16,3874.0218055555556
8,n-_p1jwGCbZT9YaTbugsdw,Vivi bubble Tea,"Coffee & Tea, Food, Hot Dogs, Restaurants, Bubble Tea","1111 E Colonial Dr, Ste 1111",32803.0,28.5534641199,-81.3649773955,4.0,197,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,492,2017-09-23 14:16:40,2021-01-10 02:29:06,1204.5086342592592
9,BICRl8FOudjjloh1kc9Glw,Wendy's,"Restaurants, Burgers, Fast Food",4051 Millenia Blvd,32839.0,28.4913358,-81.4287783,4.0,25,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,118,2010-07-27 21:25:43,2020-09-10 16:02:01,3697.7752083333335
